Artist,Song,URL
Marvin Gaye & Tammi Terrell,Ain’t No Mountain High Enough,https://www.whosampled.com/Marvin-Gaye/Ain%27t-No-Mountain-High-Enough/
Spice Girls,Wannabe,https://www.whosampled.com/Spice-Girls/Wannabe/
Gloria Gaynor,I Will Survive,https://www.whosampled.com/Gloria-Gaynor/I-Will-Survive/
Al Green,Let’s Stay Together,https://www.whosampled.com/Al-Green/Let%27s-Stay-Together/
The Shirelles,Will You Love Me Tomorrow,https://www.whosampled.com/The-Shirelles/Will-You-Love-Me-Tomorrow/
The Bee Gees,Stayin’ Alive,https://www.whosampled.com/The-Bee-Gees/Stayin%27-Alive/
Usher feat. Lil Jon & Ludacris,Yeah!,https://www.whosampled.com/Usher/Yeah%21/
Adele,Rolling in the Deep,https://www.whosampled.com/Adele/Rolling-in-the-Deep/
The Supremes,Where Did Our Love Go,https://www.whosampled.com/The-Supremes/Where-Did-Our-Love-Go/
Tears for Fears,Everybody Wants to Rule the World,https://www.whosampled.com/Tears-for-Fears/Everybody-Wants-to-Rule-the-World/
The Isley Brothers,Shout,https://www.whosampled.com/The-Isley-Brothers/Shout/
a-ha,Take on Me,https://www.whosampled.com/a-ha/Take-on-Me/
The Beach Boys,Good Vibrations,https://www.whosampled.com/The-Beach-Boys/Good-Vibrations/
Lady Gaga,Bad Romance,https://www.whosampled.com/Lady-Gaga/Bad-Romance/
Jackson 5,I Want You Back,https://www.whosampled.com/Jackson-5/I-Want-You-Back/
Missy Elliott,Work It,https://www.whosampled.com/Missy-Elliott/Work-It/
Aretha Franklin,Respect,https://www.whosampled.com/Aretha-Franklin/Respect/
TLC,No Scrubs,https://www.whosampled.com/TLC/No-Scrubs/
The Ronettes,Be My Baby,https://www.whosampled.com/The-Ronettes/Be-My-Baby/
Beyoncé feat. Jay-Z,Crazy in Love,https://www.whosampled.com/Beyonc%C3%A9/Crazy-in-Love/
Fleetwood Mac,Dreams,https://www.whosampled.com/Fleetwood-Mac/Dreams/
