Artist,Song,Samples
Mariah Carey,We Belong Together,"[If You Think You're Lonely Now by Bobby Womack], [Stares and Whispers by Renée Geyer], [Two Occasions by The Deele]"
? and the Mysterians,96 Tears,No samples found.
Post Malone,Circles,No samples found.
Duran Duran,Hungry Like the Wolf,No samples found.
Nelly,Hot in Herre,[Bustin' Loose by Chuck Brown and The Soul Searchers]
Boston,More Than a Feeling,[Screw You (Young Man's Blues) by Elton John]
Barry Manilow,Copacabana,No samples found.
No Doubt,Just a Girl,No samples found.
Dolly Parton,9 to 5,No samples found.
Smokey Robinson & The Miracles,The Tears of a Clown,No samples found.
Pet Shop Boys,West End Girls,No samples found.
Tommy James and the Shondells,Crimson and Clover,No samples found.
Juice WRLD,Lucid Dreams,"[Shape of My Heart by Sting], [Walkie-Talkie by Nextel]"
Madonna,Vogue,"[Ooh, I Love It (Love Break) by The Salsoul Orchestra]"
Boyz II Men,I’ll Make Love to You,No samples found.
Elton John,Bennie and the Jets,No samples found.
Juvenile feat. Mannie Fresh & Lil Wayne,Back That Azz Up,No samples found.
Sam Cooke,Wonderful World,No samples found.
Raspberries,Go All the Way,No samples found.
Ricky Martin,Livin’ La Vida Loca,No samples found.
Bill Withers,Ain’t No Sunshine,No samples found.
Steve Lacy,Bad Habit,No samples found.
Daft Punk,One More Time,[More Spell on You by Eddie Johns]
Sia,Chandelier,No samples found.
The Jackson 5,ABC,No samples found.
Doja Cat,Say So,No samples found.
Carpenters,(They Long to Be) Close to You,No samples found.
Robin S.,Show Me Love,No samples found.
The Kingsmen,Louie Louie,No samples found.
*NSYNC,Tearin’ Up My Heart,[Hihache by Lafayette Afro Rock Band]
Beyoncé,Love on Top,No samples found.
Coolio,Gangsta’s Paradise,"[Pastime Paradise by Stevie Wonder], [Psalm 23 by The Bible (Book)]"
Johnny Nash,I Can See Clearly Now,No samples found.
Don Henley,The Boys of Summer,No samples found.
Icona Pop feat. Charli XCX,I Love It,No samples found.
The Kinks,You Really Got Me,No samples found.
Taylor Swift,Blank Space,No samples found.
Tina Turner,What’s Love Got to Do With It,No samples found.
Cher,Believe,No samples found.
T-Pain feat. Yung Joc,Buy U a Drank (Shawty Snappin’),"[Money in the Bank by Lil Scrappy feat. Young Buck], [It's Goin' Down by Yung Joc feat. Nitti], [Snap Yo Fingers by Lil Jon feat. E-40 and Sean Paul (Of YoungBloodZ)], [Walk It Out by Unk]"
Blondie,Call Me,No samples found.
Miley Cyrus,Wrecking Ball,No samples found.
The Archies,"Sugar, Sugar",No samples found.
Martha and the Vandellas,Heat Wave,No samples found.
Missy Elliott,Get Ur Freak On,"[Is That Your Chick (The Lost Verses) by Memphis Bleek feat. Jay-Z, Twista and Missy Elliott], [Larka 1.1 by Zero-G and Master Dilbahar], [Tomi Tablas 07 by Zero-G], [Classic Tumbi Loop 03 by Zero-G]"
Nick Lowe,Cruel to Be Kind,No samples found.
Frankie Valli,Can’t Take My Eyes Off You,No samples found.
Eminem,Lose Yourself,No samples found.
Kesha,Tik Tok,[Five Minutes of Funk by Whodini]
Four Tops,I Can’t Help Myself,No samples found.
The Doobie Brothers,What a Fool Believes,No samples found.
Bon Jovi,Livin’ on a Prayer,No samples found.
Alanis Morissette,You Oughta Know,[Time Bonus Beats (105 BPM) by Simon Harris]
Coldplay,Viva La Vida,No samples found.
Cardi B,Bodak Yellow (Money Moves),No samples found.
Ritchie Valens,La Bamba,No samples found.
Eurythmics,Sweet Dreams (Are Made of This),No samples found.
Carly Simon,You’re So Vain,No samples found.
Billie Eilish,Bad Guy,[Aldridge PB/5 Pedestrian Crossing Walk Signal by Louis A. Challis and Associates]
Third Eye Blind,Semi-Charmed Life,No samples found.
Elvis Presley,Can’t Help Falling in Love,[Plaisir D'Amour by Jean Paul Egide Martini]
Fugees,Killing Me Softly,"[Bonita Applebum by A Tribe Called Quest], [The Day Begins by The Moody Blues feat. London Festival Orchestra]"
Beyoncé,Single Ladies (Put a Ring on It),No samples found.
The Miracles,The Tracks of My Tears,No samples found.
Justin Timberlake,SexyBack,"[Hook and Sling - Part I by Eddie Bo], [You Took the Words Right Out of My Mouth by Meat Loaf]"
Lil Nas X feat. Billy Ray Cyrus,Old Town Road (Remix),No samples found.
Don McLean,American Pie,[Jack Be Nimble by Traditional Folk]
The Beach Boys,God Only Knows,No samples found.
Dionne Warwick,Walk on By,No samples found.
Madonna,Borderline,No samples found.
Prince,Little Red Corvette,No samples found.
Snoop Dogg,Gin and Juice,"[I Get Lifted by George McCrae], [Watching You by Slave], [Long Red by Mountain], [Bitches Ain't Shit by Dr. Dre and Snoop Dogg feat. Daz Dillinger, Kurupt and Jewell]"
Lady Gaga,Born This Way,[Vertigo Prelude and Rooftop by Bernard Herrmann]
M.I.A.,Paper Planes,"[Straight to Hell by The Clash], [Rump Shaker (Radio Mix) by Wreckx-N-Effect feat. Teddy Riley], [Gun, Classic Pistol Cock by The Hollywood Edge Sound Effects Library], [.357 Magnum Pistol Shot 3: Close Perspective. More Ring Off Than FX 28 by The Hollywood Edge Sound Effects Library]"
Daft Punk feat. Pharrell,Get Lucky,No samples found.
Harry Styles,As It Was,No samples found.
Bonnie Tyler,Total Eclipse of the Heart,[Come in the Night by Jim Steinman]
Tom Petty,Free Fallin',No samples found.
The Rolling Stones,(I Can’t Get No) Satisfaction,No samples found.
Jay-Z feat. Alicia Keys,Empire State of Mind,"[Love on a Two Way Street by The Moments], [Theme From New York, New York by Frank Sinatra], [Sexual Chocolate by Coming to America (movie)]"
Neil Diamond,Sweet Caroline,No samples found.
Cyndi Lauper,Time After Time,No samples found.
Brandy & Monica,The Boy Is Mine,No samples found.
INXS,Need You Tonight,No samples found.
Michael Jackson,Don’t Stop ‘Til You Get Enough,No samples found.
The Cars,Just What I Needed,No samples found.
Lorde,Royals,No samples found.
Nirvana,Smells Like Teen Spirit,No samples found.
Nancy Sinatra,These Boots Are Made for Walkin',No samples found.
Huey Lewis & The News,The Power of Love,No samples found.
Rihanna feat. Calvin Harris,We Found Love,No samples found.
Jimmy Buffett,Margaritaville,No samples found.
Toto,Africa,No samples found.
George Michael,Faith,[Freedom by Wham!]
Marvin Gaye,What’s Going On,No samples found.
Sugarhill Gang,Rapper’s Delight,"[Good Times by Chic], [Here Comes That Sound Again by Love De-Luxe with Hawkshaw's Discophonia], [Fun Loving Rapping by Five on the Black Hand Side (movie)]"
Annie Lennox,Walking on Broken Glass,No samples found.
Lil Uzi Vert,XO Tour Llif3,No samples found.
Commodores,Brick House,No samples found.
Adele,Someone Like You,No samples found.
Paramore,Still Into You,No samples found.
Sly & The Family Stone,Everyday People,No samples found.
Drake,Best I Ever Had,"[Fallin' in Love by Hamilton, Joe Frank & Reynolds], [Do It for the Boy by Lil Wayne feat. Nutt Da Kidd]"
La Roux,Bulletproof,No samples found.
Bob Seger,Night Moves,No samples found.
Ghost Town DJ’s,My Boo,No samples found.
The Beatles,Hey Jude,No samples found.
