Artist,Song,Samples
Dawn Penn,"You Don’t Love Me (No, No, No)","[Wake the Town by U-Roy],[When by Ranking Tiger]"
New Radicals,You Get What You Give,No samples found
Todd Rundgren,I Saw the Light,No samples found
Clean Bandit feat. Jess Glynne,Rather Be,No samples found
The Outfield,Your Love,No samples found
Tyga,Rack City,[Who U Wit? by Lil Jon & The East Side Boyz]
Laura Branigan,Gloria,No samples found
CeCe Peniston,Finally,[Move Your Body by Marshall Jefferson (Ft. Curtis McClain)]
Modern English,I Melt With You,No samples found
Flo Rida feat. T-Pain,Low,No samples found
Sister Sledge,We Are Family,No samples found
Billy Joel,Uptown Girl,No samples found
House of Pain,Jump Around,"[Military Cut Scratch Mix by Grand Wizard Theodore (Ft. Kevie Kev Rockwell)],[Shoot Your Shot by Junior Walker & The All Stars],[Popeye (The Hitchhiker) by Chubby Checker],[Harlem Shuffle by Bob & Earl],[Ain’t Sayin’ Nothin' by Divine Styler]"
Janet Jackson,All for You,"[Interlude: Hey Baby by Janet Jackson],[The Glow of Love by Change (Ft. Luther Vandross)]"
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,No samples found
Toni Braxton,You’re Makin’ Me High,No samples found
Joe Jackson,Is She Really Going Out With Him?,No samples found
Maroon 5,This Love,No samples found
Diana Ross,I’m Coming Out,No samples found
The 5th Dimension,Aquarius/Let the Sunshine In,No samples found
Walk the Moon,Shut Up and Dance,No samples found
Ice Cube,It Was a Good Day,"[Footsteps In the Dark by The Isley Brothers],[Sexy Mama by The Moments]"
Thelma Houston,Don’t Leave Me This Way,No samples found
Spiral Starecase,More Today Than Yesterday,No samples found
Dionne Warwick,I Say a Little Prayer,No samples found
LEN,Steal My Sunshine,"[More, More, More by Andrea True Connection],[Strawberry Letter 23 by The Brothers Johnson]"
Sylvester,You Make Me Feel (Mighty Real),No samples found
Jordin Sparks & Chris Brown,No Air,No samples found
Chief Keef feat. Lil Reese,I Don’t Like,No samples found
Kim Carnes,Bette Davis Eyes,No samples found
Candi Staton,Young Hearts Run Free,No samples found
t.A.T.u.,All the Things She Said,No samples found
Alicia Keys,If I Ain’t Got You,No samples found
The Righteous Brothers,You’ve Lost That Lovin’ Feelin',No samples found
Ike & Tina Turner,Proud Mary,No samples found
Bonnie Raitt,Something to Talk About,No samples found
Lana Del Rey vs. Cedric Gervais,Summertime Sadness,No samples found
Shannon,Let the Music Play,No samples found
Edison Lighthouse,Love Grows (Where My Rosemary Goes),No samples found
Marc Cohn,Walking in Memphis,No samples found
Bananarama,Cruel Summer,No samples found
Daryl Hall & John Oates,She’s Gone,No samples found
Snoop Dogg feat. Pharrell,Drop It Like It’s Hot,No samples found
Labelle,Lady Marmalade,No samples found
The Marvelettes,Please Mr. Postman,No samples found
Donna Summer,Bad Girls,No samples found
Donna Lewis,I Love You Always Forever,No samples found
Wizkid feat. Tems,Essence,No samples found
LL Cool J,Mama Said Knock You Out,"[Raw (Remix) by Big Daddy Kane],[The Humpty Dance by Digital Underground],[Trip to Your Heart by Sly and the Family Stone],[Funky Drummer by James Brown],[Rock the Bells by LL COOL J],[Sing a Simple Song by Sly and the Family Stone],[Gangster Boogie by Chicago Gangsters],[Spoonin Rap (A Drive Down The Street I Was Spanking And Freaking) by Spoonie Gee]"
Sheryl Crow,All I Wanna Do,No samples found
Odyssey,Native New Yorker,No samples found
Martha & The Vandellas,Dancing in the Street,No samples found
C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),No samples found
Fountains of Wayne,Stacy’s Mom,No samples found
