Artist,Song,Samples
Juice WRLD,Lucid Dreams,[Shape of My Heart by Sting]
Madonna,Vogue,"[Lucky Star by Madonna],[Miss You Much (Shep's House Mix) by Janet Jackson],[Love is the Message by MFSB]"
Boyz II Men,I’ll Make Love to You,No samples found
Elton John,Bennie and the Jets,No samples found
Juvenile feat. Mannie Fresh & Lil Wayne,Back That Azz Up,"[Underground by UGK],[Movin' by Brass Construction]"
Sam Cooke,Wonderful World,No samples found
Raspberries,Go All the Way,No samples found
Ricky Martin,Livin’ La Vida Loca,"[Hawaii Five-O by The Ventures],[Hawaii Five-O (radio spot) by The Ventures],[Hawaii Five-O by Mort Stevens and His Orchestra],[You Can Count on Me (Theme from ""Hawaii Five-O"") by Sammy Davis Jr.],[マジンガーZ (Mazinger Z) by 水木一郎 (Ichiro Mizuki)]"
Bill Withers,Ain’t No Sunshine,No samples found
Steve Lacy,Bad Habit,No samples found
Daft Punk,One More Time,[More Spell on You by Eddie Johns]
Sia,Chandelier,No samples found
Run-D.M.C.,It’s Tricky,"[Mickey by Toni Basil],[My Sharona by The Knack]"
The Jackson 5,ABC,No samples found
Doja Cat,Say So,[Move by Kim Petras (Ft. Theron Thomas)]
Dexy’s Midnight Runners,Come on Eileen,No samples found
Carpenters,(They Long to Be) Close to You,No samples found
Robin S.,Show Me Love,No samples found
The Kingsmen,Louie Louie,No samples found
*NSYNC,Tearin’ Up My Heart,No samples found
Beyoncé,Love on Top,No samples found
Coolio,Gangsta’s Paradise,[Pastime Paradise by Stevie Wonder & Stevie Wonder]
Johnny Nash,I Can See Clearly Now,No samples found
Don Henley,The Boys of Summer,No samples found
Icona Pop feat. Charli XCX,I Love It,No samples found
The Kinks,You Really Got Me,No samples found
Taylor Swift,Blank Space,No samples found
Tina Turner,What’s Love Got to Do With It,No samples found
Cher,Believe,"[Revolution 909 by Daft Punk],[Epilogue by Electric Light Orchestra],[Prologue by Electric Light Orchestra]"
T-Pain feat. Yung Joc,Buy U a Drank (Shawty Snappin’),"[bugging! by brakence],[Nasty by Tinashe],[Baby Boy by Beyoncé (Ft. Sean Paul)],[Buy U a Drank (Shawty Snappin’) by T-Pain (Ft. Yung Joc)],[Drizzle.down by Syzy],[I Had That Shirt Ur Wearing 7 Years Ago by ​FearDorian],[Seeing 20 by Mel V],[Picket Fence by Cowgirl Clue],[TATTI by Bktherula],[Like Me by Chase Icon],[Glitz rock by Felix da Housecat],[Magnetic by ILLIT (아일릿)],[I MAKE IT LOOK EFFORTLESS by Quadeca],[Tomorrow  2 by GloRilla & Cardi B],[My Egyptian Lover by Nadia Oh],[Locals (Girls like us) by ‎underscores & gabby start],[Life Is Good by Future (Ft. Drake)],[Strange World (2000 Remake) by PuSh],[Dust beam by ML Buch],[Burn by USHER],[Deluge by Acounta],[Bitch I’m Nice by Doechii],[Club classics by Charli xcx],[​Stalkers Freestyle by ​Jane Remover],[Ghetto Princess by Sexyy Red & Chief Keef],[Rain When I Die by Alice in Chains],[Tantor by Danny Brown],[​syro u473t8+e [141.98][piezoluminescence mix] by Aphex Twin],[Why would I ever listen to you by d0llywood1],[Raise Your Weapon (Original Mix) by ​deadmau5],[true story by Ariana Grande],[Ice Box by Omarion],[Dreaming by Elysia Crampton (Ft. The-Dream)],[Mr. Yeah by The-Dream],[​it’s nothing by quinn],[Floating by Julee Cruise],[MONEY BAGS IN THE TRUNK by BABYXSOSA],[I Don't Smoke by Mitski],[Hold It Against Me by Britney Spears],[Holding A Leech by ​Jane Remover]"
Blondie,Call Me,No samples found
Miley Cyrus,Wrecking Ball,No samples found
The Archies,"Sugar, Sugar",No samples found
Martha and the Vandellas,Heat Wave,No samples found
Missy Elliott,Get Ur Freak On,"[Solitude by Karunesh],[Is That Your Chick (The Lost Verses) by Memphis Bleek (Ft. JAY-Z, Missy Elliott & Twista)]"
Nick Lowe,Cruel to Be Kind,No samples found
Frankie Valli,Can’t Take My Eyes Off You,No samples found
Eminem,Lose Yourself,[Lose Yourself (Instrumental) by Eminem]
Kesha,Tik Tok,No samples found
Four Tops,I Can’t Help Myself,No samples found
The Doobie Brothers,What a Fool Believes,No samples found
Bon Jovi,Livin’ on a Prayer,No samples found
Alanis Morissette,You Oughta Know,No samples found
Coldplay,Viva La Vida,No samples found
Cardi B,Bodak Yellow (Money Moves),No samples found
Ritchie Valens,La Bamba,No samples found
Eurythmics,Sweet Dreams (Are Made of This),[Cocaine by Dice]
Carly Simon,You’re So Vain,No samples found
Billie Eilish,Bad Guy,No samples found
Third Eye Blind,Semi-Charmed Life,No samples found
Elvis Presley,Can’t Help Falling in Love,No samples found
